ticker,date,open,high,low,close
IZM,2023-03-15,4.0,4.22,3.07,3.31
IZM,2023-03-16,3.15,3.47,3.1,3.22
IZM,2023-03-17,3.32,3.335,3.21,3.28
IZM,2023-03-20,3.38,3.38,3.14,3.23
IZM,2023-03-21,3.24,3.37,3.22,3.3
IZM,2023-03-22,3.27,3.75,3.26,3.49
IZM,2023-03-23,3.49,3.67,3.311,3.49
IZM,2023-03-24,3.37,3.69,3.31,3.33
IZM,2023-03-27,3.42,3.59,3.21,3.5
IZM,2023-03-28,3.46,3.46,2.96,3.27
IZM,2023-03-29,3.13,3.13,2.7,2.72
IZM,2023-03-30,2.64,2.64,2.051,2.19
IZM,2023-03-31,2.13,2.15,1.72,1.73
IZM,2023-04-03,1.69,2.16,1.69,1.79
IZM,2023-04-04,1.74,1.7999,1.61,1.67
IZM,2023-04-05,1.65,1.87,1.65,1.7495
IZM,2023-04-06,1.7,1.8899,1.66,1.71
IZM,2023-04-10,1.71,1.8,1.69,1.72
IZM,2023-04-11,1.7404,2.09,1.72,1.9
IZM,2023-04-12,1.95,2.59,1.9,2.3
IZM,2023-04-13,2.43,2.7,2.2759,2.64
IZM,2023-04-14,2.96,3.91,2.05,2.26
IZM,2023-04-17,2.12,2.18,2.0,2.09
IZM,2023-04-18,2.03,2.78,2.01,2.5
IZM,2023-04-19,2.5,2.708,2.34,2.7
IZM,2023-04-20,2.7,2.9097,2.4,2.85
IZM,2023-04-21,2.85,3.21,2.85,2.875
IZM,2023-04-24,2.85,2.99,2.85,2.8799
IZM,2023-04-25,2.8926,2.95,2.811,2.8875
IZM,2023-04-26,2.9,3.07,2.9,3.03
IZM,2023-04-27,2.98,3.09,2.91,2.927
IZM,2023-04-28,2.9462,3.104,2.9462,3.0
IZM,2023-05-01,3.11,3.4999,3.11,3.33
IZM,2023-05-02,3.32,3.38,3.18,3.21
IZM,2023-05-03,3.36,3.78,3.27,3.32
IZM,2023-05-04,3.3261,3.55,3.28,3.37
IZM,2023-05-05,3.38,3.55,3.0,3.06
IZM,2023-05-08,2.98,3.02,2.71,2.71
IZM,2023-05-09,2.77,2.8586,2.67,2.76
IZM,2023-05-10,2.73,3.12,2.7279,3.06
IZM,2023-05-11,3.075,5.78,2.255,2.35
IZM,2023-05-12,2.2,2.8076,2.05,2.43
IZM,2023-05-15,2.38,2.6897,2.35,2.59
IZM,2023-05-16,2.56,2.93,2.56,2.66
IZM,2023-05-17,2.59,2.86,2.515,2.79
IZM,2023-05-18,2.8,2.91,2.7001,2.84
IZM,2023-05-19,2.81,3.15,2.81,3.0
IZM,2023-05-22,3.0,3.32,3.0,3.01
IZM,2023-05-23,3.03,3.16,3.012,3.05
IZM,2023-05-24,3.06,3.4,2.95,3.26
IZM,2023-05-25,3.24,4.33,3.24,3.99
IZM,2023-05-26,3.76,4.0,3.6,3.69
IZM,2023-05-30,3.69,3.899,3.69,3.75
IZM,2023-05-31,3.8,3.959,3.74,3.92
IZM,2023-06-01,3.93,4.14,3.7113,3.79
IZM,2023-06-02,3.75,3.9,3.7,3.81
IZM,2023-06-05,3.81,4.01,3.8,3.87
IZM,2023-06-06,3.87,4.13,3.7627,3.93
IZM,2023-06-07,3.82,3.933,3.8,3.93
IZM,2023-06-08,3.99,4.55,3.96,4.5
IZM,2023-06-09,4.6,4.8668,4.34,4.46
IZM,2023-06-12,4.67,4.69,4.21,4.3
IZM,2023-06-13,4.25,4.25,3.79,3.85
IZM,2023-06-14,3.8499,3.86,3.44,3.49
IZM,2023-06-15,3.49,3.85,3.47,3.83
IZM,2023-06-16,3.71,4.8,3.71,4.76
IZM,2023-06-20,4.94,4.94,4.61,4.81
IZM,2023-06-21,4.6627,5.4,4.6627,5.22
IZM,2023-06-22,5.1,5.33,5.02,5.27
IZM,2023-06-23,5.49,6.095,5.4,5.94
IZM,2023-06-26,5.95,5.97,5.04,5.5
IZM,2023-06-27,5.34,5.7,5.13,5.13
IZM,2023-06-28,5.18,5.4799,5.05,5.06
IZM,2023-06-29,5.03,5.1934,4.75,4.81
IZM,2023-06-30,4.74,5.0007,4.6666,4.715
IZM,2023-07-03,4.57,4.77,3.91,4.14
IZM,2023-07-05,4.0,4.0847,3.5901,3.99
IZM,2023-07-06,3.85,4.1,3.82,4.01
IZM,2023-07-07,4.13,5.34,4.13,4.94
IZM,2023-07-10,4.9,5.54,4.84,5.54
IZM,2023-07-11,5.767,5.78,4.98,5.54
IZM,2023-07-12,5.38,5.4,5.0966,5.23
IZM,2023-07-13,5.26,5.99,5.26,5.91
IZM,2023-07-14,5.74,6.1977,5.01,5.42
IZM,2023-07-17,5.37,5.84,5.37,5.74
IZM,2023-07-18,5.78,6.1562,5.78,5.95
IZM,2023-07-19,6.04,6.04,5.6,5.84
IZM,2023-07-20,5.76,7.79,5.22,7.07
IZM,2023-07-21,7.3,7.35,6.48,6.7
