ticker,date,open,high,low,close
CWD,2023-05-17,3.8,8.8,3.79,6.0
CWD,2023-05-18,10.34,13.0,7.05,7.7
CWD,2023-05-19,5.7,6.75,5.05,5.25
CWD,2023-05-22,4.96,5.41,4.25,4.44
CWD,2023-05-23,4.4,4.75,4.0357,4.34
CWD,2023-05-24,4.1,4.2178,3.7101,3.85
CWD,2023-05-25,3.69,3.8,3.25,3.33
CWD,2023-05-26,3.32,3.3491,3.01,3.06
CWD,2023-05-30,3.16,3.1999,2.82,2.87
CWD,2023-05-31,2.78,2.8499,2.47,2.52
CWD,2023-06-01,2.46,2.8698,2.1213,2.2
CWD,2023-06-02,2.14,2.28,2.05,2.16
CWD,2023-06-05,2.09,2.3,2.01,2.21
CWD,2023-06-06,2.18,2.4816,2.13,2.3332
CWD,2023-06-07,2.38,2.4699,2.161,2.25
CWD,2023-06-08,2.22,2.4402,2.17,2.3
CWD,2023-06-09,2.23,2.2774,2.08,2.08
CWD,2023-06-12,2.08,2.19,2.08,2.16
CWD,2023-06-13,2.14,2.33,2.13,2.24
CWD,2023-06-14,2.24,2.32,2.1658,2.26
CWD,2023-06-15,2.25,2.32,2.22,2.29
CWD,2023-06-16,2.3,2.3,2.16,2.17
CWD,2023-06-20,2.23,2.23,2.08,2.17
CWD,2023-06-21,2.17,2.18,2.11,2.14
CWD,2023-06-22,2.1586,2.23,2.1153,2.17
CWD,2023-06-23,2.18,2.22,2.1,2.16
CWD,2023-06-26,2.14,2.178,1.9,1.925
CWD,2023-06-27,1.87,1.9965,1.82,1.85
CWD,2023-06-28,1.85,2.0,1.81,1.85
CWD,2023-06-29,1.92,1.99,1.85,1.9049
CWD,2023-06-30,1.9594,1.96,1.912,1.92
CWD,2023-07-03,1.94,2.18,1.94,2.07
CWD,2023-07-05,2.01,2.07,1.9344,1.96
CWD,2023-07-06,1.96,2.04,1.87,1.895
CWD,2023-07-07,1.93,1.98,1.87,1.91
CWD,2023-07-10,1.872,1.9945,1.87,1.9
CWD,2023-07-11,1.88,2.0685,1.88,1.97
CWD,2023-07-12,1.92,2.1,1.92,2.02
CWD,2023-07-13,2.08,2.1496,1.97,2.02
CWD,2023-07-14,2.08,2.15,1.9901,2.1077
CWD,2023-07-17,2.1,2.1897,2.07,2.14
CWD,2023-07-18,2.14,2.15,2.08,2.1
CWD,2023-07-19,2.07,2.12,2.04,2.0401
CWD,2023-07-20,2.08,2.0999,1.87,1.9
CWD,2023-07-21,1.9,1.975,1.86,1.9
